Mass,Position,Velocity,Acceleration
49735,"[-4820.345071607112, 4176.500615423518, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
25735.0,"[-9606.021253900526, 88.22796833392565, 0.0]","[-0.10226177968361548, -3.676430709580626, 0.0]","[0.004319220879846819, -4.1323749352203536e-05, 0.0]"
25735.0,"[-9606.12351568021, 84.55153762434502, 0.0]","[-0.09794260814332631, -3.676470379389975, 0.0]","[0.004319171540289168, -3.9669809349187234e-05, 0.0]"
25735.0,"[-9606.221458288353, 80.87506724495505, 0.0]","[-0.09362348395634945, -3.676508395349784, 0.0]","[0.0043191241869768564, -3.8015959809063866e-05, 0.0]"
25735.0,"[-9606.315081772309, 77.19855884960526, 0.0]","[-0.08930440513655369, -3.6765447575467447, 0.0]","[0.004319078819795761, -3.6362196960698987e-05, 0.0]"
25735.0,"[-9606.404386177446, 73.52201409205851, 0.0]","[-0.08498536969791731, -3.676579466063778, 0.0]","[0.004319035438636372, -3.470851703348026e-05, 0.0]"
25735.0,"[-9606.489371547144, 69.84543462599473, 0.0]","[-0.08066637565452354, -3.6766125209800355, 0.0]","[0.0043189940433937726, -3.3054916257295024e-05, 0.0]"
25735.0,"[-9606.570037922798, 66.1688221050147, 0.0]","[-0.07634742102055588, -3.676643922370898, 0.0]","[0.004318954633967666, -3.1401390862508076e-05, 0.0]"
25735.0,"[-9606.646385343818, 62.4921781826438, 0.0]","[-0.07202850381029353, -3.676673670307978, 0.0]","[0.004318917210262347, -2.974793707993906e-05, 0.0]"
25735.0,"[-9606.718413847628, 58.81550451233582, 0.0]","[-0.0677096220381068, -3.676701764859119, 0.0]","[0.0043188817721867305, -2.8094551140840315e-05, 0.0]"
25735.0,"[-9606.786123469667, 55.1388027474767, 0.0]","[-0.06339077371845248, -3.676728206088396, 0.0]","[0.004318848319654327, -2.6441229276874324e-05, 0.0]"
25735.0,"[-9606.849514243386, 51.462074541388304, 0.0]","[-0.059071956865869225, -3.676752994056116, 0.0]","[0.00431881685258325, -2.4787967720091454e-05, 0.0]"
25735.0,"[-9606.908586200252, 47.78532154733219, 0.0]","[-0.054753169494973004, -3.676776128818819, 0.0]","[0.00431878737089622, -2.313476270290753e-05, 0.0]"
25735.0,"[-9606.963339369748, 44.10854541851337, 0.0]","[-0.05043440962045244, -3.676797610429277, 0.0]","[0.004318759874520567, -2.1481610458081576e-05, 0.0]"
25735.0,"[-9607.013773779368, 40.4317478080841, 0.0]","[-0.046115675257064226, -3.676817438936496, 0.0]","[0.004318734363388211, -1.9828507218693303e-05, 0.0]"
25735.0,"[-9607.059889454626, 36.7549303691476, 0.0]","[-0.04179696441962854, -3.676835614385714, 0.0]","[0.0043187108374356875, -1.81754492181209e-05, 0.0]"
25735.0,"[-9607.101686419046, 33.078094754761885, 0.0]","[-0.037478275123024415, -3.676852136818404, 0.0]","[0.004318689296604125, -1.652243269001861e-05, 0.0]"
25735.0,"[-9607.139164694168, 29.40124261794348, 0.0]","[-0.03315960538218515, -3.676867006272272, 0.0]","[0.004318669740839259, -1.4869453868294408e-05, 0.0]"
25735.0,"[-9607.17232429955, 25.72437561167121, 0.0]","[-0.028840953212093727, -3.6768802227812594, 0.0]","[0.0043186521700914245, -1.3216508987087654e-05, 0.0]"
25735.0,"[-9607.201165252762, 22.04749538888995, 0.0]","[-0.024522316627778165, -3.67689178637554, 0.0]","[0.00431863658431556, -1.1563594280746767e-05, 0.0]"
25735.0,"[-9607.22568756939, 18.370603602514407, 0.0]","[-0.02020369364430696, -3.676901697081524, 0.0]","[0.004318622983471206, -9.910705983806864e-06, 0.0]"
25735.0,"[-9607.245891263034, 14.693701905432883, 0.0]","[-0.015885082276784465, -3.676909954921855, 0.0]","[0.004318611367522496, -8.25784033096744e-06, 0.0]"
25735.0,"[-9607.26177634531, 11.016791950511028, 0.0]","[-0.011566480540346289, -3.676916559915412, 0.0]","[0.004318601736438176, -6.604993557070043e-06, 0.0]"
25735.0,"[-9607.27334282585, 7.339875390595616, 0.0]","[-0.007247886450154708, -3.676921512077309, 0.0]","[0.004318594090191581, -4.9521618970759305e-06, 0.0]"
25735.0,"[-9607.2805907123, 3.6629538785183064, 0.0]","[-0.0029292980213940457, -3.6769248114188953, 0.0]","[0.004318588428760662, -3.2993415860437494e-06, 0.0]"
25735.0,"[-9607.283520010322, -0.013970932900588817, 0.0]","[0.0013892867307339091, -3.6769264579477543, 0.0]","[0.004318584752127955, -1.646528859107192e-06, 0.0]"
25735.0,"[-9607.282130723592, -3.690897390848343, 0.0]","[0.0057078697910145065, -3.676926451667706, 0.0]","[0.004318583060280597, 6.2800485473178805e-09, 0.0]"
25735.0,"[-9607.2764228538, -7.367823842516049, 0.0]","[0.010026453144224848, -3.676924792578804, 0.0]","[0.004318583353210341, 1.6590889017029505e-06, 0.0]"
25735.0,"[-9607.266396400655, -11.044748635094853, 0.0]","[0.014345038775138371, -3.676921480677339, 0.0]","[0.004318585630913523, 3.311901465134807e-06, 0.0]"
25735.0,"[-9607.25205136188, -14.721670115772191, 0.0]","[0.018663628668529456, -3.6769165159558352, 0.0]","[0.0043185898933910845, 4.964721503632236e-06, 0.0]"
25735.0,"[-9607.233387733211, -18.398586631728026, 0.0]","[0.022982224809178026, -3.676909898403053, 0.0]","[0.004318596140648571, 6.617552782021168e-06, 0.0]"
25735.0,"[-9607.210405508402, -22.07549653013108, 0.0]","[0.027300829181874146, -3.676901628003988, 0.0]","[0.0043186043726961216, 8.270399065186431e-06, 0.0]"
25735.0,"[-9607.18310467922, -25.75239815813507, 0.0]","[0.03161944377142263, -3.67689170473987, 0.0]","[0.004318614589548483, 9.923264118094098e-06, 0.0]"
